CountyState,Projected Population
"Baldwin, Alabama",223234.0
"Colbert, Alabama",55241.0
"DeKalb, Alabama",71513.0
"Etowah, Alabama",102268.0
"Houston, Alabama",105882.0
"Jefferson, Alabama",658573.0
"Madison, Alabama",372909.0
"Mobile, Alabama",413210.0
"Montgomery, Alabama",226486.0
"Morgan, Alabama",119679.0
"Russell, Alabama",57961.0
"Shelby, Alabama",217702.0
"Sumter, Alabama",12427.0
"Tuscaloosa, Alabama",209355.0
"Apache, Arizona",71887.0
"Cochise, Arizona",125922.0
"Coconino, Arizona",143476.0
"Gila, Arizona",54018.0
"La Paz, Arizona",21108.0
"Maricopa, Arizona",4485414.0
"Mohave, Arizona",212181.0
"Navajo, Arizona",110924.0
"Pima, Arizona",1047279.0
"Pinal, Arizona",462789.0
"Santa Cruz, Arizona",46498.0
"Yavapai, Arizona",235099.0
"Yuma, Arizona",213787.0
"Clark, Arkansas",22320.0
"Crittenden, Arkansas",47955.0
"Newton, Arkansas",7753.0
"Polk, Arkansas",19964.0
"Pulaski, Arkansas",391911.0
"Union, Arkansas",38682.0
"Washington, Arkansas",239187.0
"Alameda, California",1671329.0
"Amador, California",39752.0
"Butte, California",219186.0
"Calaveras, California",45905.0
"Colusa, California",21547.0
"Contra Costa, California",1153526.0
"El Dorado, California",192843.0
"Fresno, California",999101.0
"Glenn, California",28393.0
"Humboldt, California",135558.0
"Imperial, California",181215.0
"Inyo, California",18039.0
"Kern, California",900202.0
"Kings, California",152940.0
"Lake, California",64386.0
"Los Angeles, California",10039107.0
"Madera, California",157327.0
"Marin, California",258826.0
"Mariposa, California",17203.0
"Mendocino, California",86749.0
"Merced, California",277680.0
"Mono, California",14444.0
"Monterey, California",434061.0
"Napa, California",137744.0
"Nevada, California",99755.0
"Orange, California",3175692.0
"Placer, California",398329.0
"Riverside, California",2470546.0
"Sacramento, California",1552058.0
"San Benito, California",62808.0
"San Bernardino, California",2180085.0
"San Diego, California",3338330.0
"San Francisco, California",881549.0
"San Joaquin, California",762148.0
"San Luis Obispo, California",283111.0
"San Mateo, California",766573.0
"Santa Barbara, California",446499.0
"Santa Clara, California",1927852.0
"Santa Cruz, California",273213.0
"Shasta, California",180080.0
"Siskiyou, California",43539.0
"Solano, California",447643.0
"Sonoma, California",494336.0
"Stanislaus, California",550660.0
"Sutter, California",96971.0
"Tehama, California",65084.0
"Tulare, California",466195.0
"Tuolumne, California",54478.0
"Ventura, California",846006.0
"Yolo, California",220500.0
"Adams, Colorado",517421.0
"Arapahoe, Colorado",656590.0
"Archuleta, Colorado",14029.0
"Boulder, Colorado",326196.0
"Clear Creek, Colorado",9700.0
"Denver, Colorado",727211.0
"Douglas, Colorado",351154.0
"El Paso, Colorado",720403.0
"Garfield, Colorado",60061.0
"Gunnison, Colorado",17462.0
"Jefferson, Colorado",582881.0
"La Plata, Colorado",56221.0
"Larimer, Colorado",356899.0
"Mesa, Colorado",154210.0
"Montezuma, Colorado",26183.0
"Prowers, Colorado",12172.0
"Rio Blanco, Colorado",6324.0
"Routt, Colorado",25638.0
"Weld, Colorado",324492.0
"Fairfield, Connecticut",943332.0
"Hartford, Connecticut",891720.0
"Litchfield, Connecticut",180333.0
"New Haven, Connecticut",854757.0
"New London, Connecticut",265206.0
"Windham, Connecticut",116782.0
"Kent, Delaware",180786.0
"New Castle, Delaware",558753.0
"Sussex, Delaware",234225.0
"Alachua, Florida",269043.0
"Baker, Florida",29210.0
"Bay, Florida",174705.0
"Brevard, Florida",601942.0
"Broward, Florida",1952778.0
"Citrus, Florida",149657.0
"Collier, Florida",384902.0
"Columbia, Florida",71686.0
"Duval, Florida",957755.0
"Escambia, Florida",318316.0
"Flagler, Florida",115081.0
"Hamilton, Florida",14428.0
"Highlands, Florida",106221.0
"Hillsborough, Florida",1471968.0
"Holmes, Florida",19617.0
"Indian River, Florida",159923.0
"Lake, Florida",367118.0
"Lee, Florida",770577.0
"Leon, Florida",293582.0
"Liberty, Florida",8354.0
"Manatee, Florida",403253.0
"Marion, Florida",365579.0
"Martin, Florida",161000.0
"Miami-Dade, Florida",2716940.0
"Nassau, Florida",88625.0
"Okaloosa, Florida",210738.0
"Orange, Florida",1393452.0
"Osceola, Florida",375751.0
"Palm Beach, Florida",1496770.0
"Pasco, Florida",553947.0
"Pinellas, Florida",974996.0
"Polk, Florida",724777.0
"Putnam, Florida",74521.0
"St. Lucie, Florida",328297.0
"Santa Rosa, Florida",184313.0
"Sarasota, Florida",433742.0
"Seminole, Florida",471826.0
"Volusia, Florida",553284.0
"Wakulla, Florida",33739.0
"Bibb, Georgia",153159.0
"Chatham, Georgia",289430.0
"Chattooga, Georgia",24789.0
"Clarke, Georgia",128331.0
"Cobb, Georgia",760141.0
"Columbia, Georgia",156714.0
"Dawson, Georgia",26108.0
"DeKalb, Georgia",759297.0
"Dougherty, Georgia",87956.0
"Douglas, Georgia",146343.0
"Floyd, Georgia",98498.0
"Fulton, Georgia",1063937.0
"Glynn, Georgia",85292.0
"Gwinnett, Georgia",936250.0
"Henry, Georgia",234561.0
"Houston, Georgia",157863.0
"Lowndes, Georgia",117406.0
"Murray, Georgia",40096.0
"Muscogee, Georgia",195769.0
"Pike, Georgia",18962.0
"Richmond, Georgia",202518.0
"Rockdale, Georgia",90896.0
"Sumter, Georgia",29524.0
"Walker, Georgia",69761.0
"Hawaii, Hawaii",201513.0
"Honolulu, Hawaii",974563.0
"Kauai, Hawaii",72293.0
"Maui, Hawaii",167417.0
"Ada, Idaho",481587.0
"Bannock, Idaho",87808.0
"Benewah, Idaho",9298.0
"Bonner, Idaho",45739.0
"Canyon, Idaho",229849.0
"Caribou, Idaho",7155.0
"Franklin, Idaho",13876.0
"Lemhi, Idaho",8027.0
"Adams, Illinois",65435.0
"Champaign, Illinois",209689.0
"Clark, Illinois",15441.0
"Cook, Illinois",5150233.0
"DuPage, Illinois",922921.0
"Effingham, Illinois",34008.0
"Hamilton, Illinois",8116.0
"Jersey, Illinois",21773.0
"Jo Daviess, Illinois",21235.0
"Kane, Illinois",532403.0
"Lake, Illinois",696535.0
"McHenry, Illinois",307774.0
"McLean, Illinois",171517.0
"Macon, Illinois",104009.0
"Macoupin, Illinois",44926.0
"Madison, Illinois",262966.0
"Peoria, Illinois",179179.0
"Randolph, Illinois",31782.0
"Rock Island, Illinois",141879.0
"Sangamon, Illinois",194672.0
"Wabash, Illinois",11520.0
"Will, Illinois",690743.0
"Winnebago, Illinois",282572.0
"Allen, Indiana",379299.0
"Bartholomew, Indiana",83779.0
"Clark, Indiana",118302.0
"Daviess, Indiana",33351.0
"Delaware, Indiana",114135.0
"Elkhart, Indiana",206341.0
"Floyd, Indiana",78522.0
"Gibson, Indiana",33659.0
"Greene, Indiana",31922.0
"Hamilton, Indiana",338011.0
"Hendricks, Indiana",170311.0
"Howard, Indiana",82544.0
"Knox, Indiana",36594.0
"Lake, Indiana",485493.0
"LaPorte, Indiana",109888.0
"Madison, Indiana",129569.0
"Marion, Indiana",964582.0
"Monroe, Indiana",148431.0
"Morgan, Indiana",70489.0
"Pike, Indiana",12389.0
"Porter, Indiana",170389.0
"Posey, Indiana",25427.0
"St. Joseph, Indiana",271826.0
"Shelby, Indiana",44729.0
"Tippecanoe, Indiana",195732.0
"Vanderburgh, Indiana",181451.0
"Vigo, Indiana",107038.0
"Wabash, Indiana",30996.0
"Warrick, Indiana",62998.0
"Whitley, Indiana",33964.0
"Black Hawk, Iowa",131228.0
"Bremer, Iowa",25062.0
"Clinton, Iowa",46429.0
"Harrison, Iowa",14049.0
"Johnson, Iowa",151140.0
"Linn, Iowa",226706.0
"Montgomery, Iowa",9917.0
"Muscatine, Iowa",42664.0
"Palo Alto, Iowa",8886.0
"Polk, Iowa",490161.0
"Scott, Iowa",172943.0
"Van Buren, Iowa",7044.0
"Ford, Kansas",33619.0
"Johnson, Kansas",602401.0
"Leavenworth, Kansas",81758.0
"Neosho, Kansas",16007.0
"Sedgwick, Kansas",516042.0
"Shawnee, Kansas",176875.0
"Sumner, Kansas",22836.0
"Trego, Kansas",2803.0
"Wyandotte, Kansas",165429.0
"Bell, Kentucky",26032.0
"Boone, Kentucky",133581.0
"Boyd, Kentucky",46718.0
"Bullitt, Kentucky",81676.0
"Campbell, Kentucky",93584.0
"Carter, Kentucky",26797.0
"Christian, Kentucky",70461.0
"Daviess, Kentucky",101511.0
"Edmonson, Kentucky",12150.0
"Fayette, Kentucky",323152.0
"Greenup, Kentucky",35098.0
"Hardin, Kentucky",110958.0
"Henderson, Kentucky",45210.0
"Jefferson, Kentucky",766757.0
"Jessamine, Kentucky",54115.0
"Livingston, Kentucky",9194.0
"McCracken, Kentucky",65418.0
"Morgan, Kentucky",13309.0
"Oldham, Kentucky",66799.0
"Perry, Kentucky",25758.0
"Pike, Kentucky",57876.0
"Pulaski, Kentucky",64979.0
"Simpson, Kentucky",18572.0
"Trigg, Kentucky",14651.0
"Warren, Kentucky",132896.0
"Washington, Kentucky",12095.0
"Ascension, Louisiana",126604.0
"Bossier, Louisiana",127039.0
"Caddo, Louisiana",240204.0
"Calcasieu, Louisiana",203436.0
"East Baton Rouge, Louisiana",440059.0
"Iberville, Louisiana",32511.0
"Jefferson, Louisiana",432493.0
"Lafayette, Louisiana",244390.0
"Lafourche, Louisiana",97614.0
"Livingston, Louisiana",140789.0
"Orleans, Louisiana",390144.0
"Ouachita, Louisiana",153279.0
"Pointe Coupee, Louisiana",21730.0
"St. Bernard, Louisiana",47244.0
"St. James, Louisiana",21096.0
"St. John the Baptist, Louisiana",42837.0
"St. Tammany, Louisiana",260419.0
"West Baton Rouge, Louisiana",26465.0
"Androscoggin, Maine",108277.0
"Aroostook, Maine",67055.0
"Cumberland, Maine",295003.0
"Hancock, Maine",54987.0
"Kennebec, Maine",122302.0
"Oxford, Maine",57975.0
"Penobscot, Maine",152148.0
"Washington, Maine",31379.0
"York, Maine",207641.0
"Anne Arundel, Maryland",579234.0
"Baltimore, Maryland",827370.0
"Calvert, Maryland",92525.0
"Carroll, Maryland",168447.0
"Cecil, Maryland",102855.0
"Charles, Maryland",163257.0
"Dorchester, Maryland",31929.0
"Frederick, Maryland",259547.0
"Garrett, Maryland",29014.0
"Harford, Maryland",255441.0
"Howard, Maryland",325690.0
"Kent, Maryland",19422.0
"Montgomery, Maryland",1050688.0
"Prince George's, Maryland",909327.0
"Washington, Maryland",151049.0
"Barnstable, Massachusetts",212990.0
"Berkshire, Massachusetts",124944.0
"Bristol, Massachusetts",565217.0
"Dukes, Massachusetts",17332.0
"Essex, Massachusetts",789034.0
"Franklin, Massachusetts",70180.0
"Hampden, Massachusetts",466372.0
"Hampshire, Massachusetts",160830.0
"Middlesex, Massachusetts",1611699.0
"Norfolk, Massachusetts",706775.0
"Plymouth, Massachusetts",521202.0
"Suffolk, Massachusetts",803907.0
"Worcester, Massachusetts",830622.0
"Allegan, Michigan",118081.0
"Bay, Michigan",103126.0
"Berrien, Michigan",153401.0
"Clinton, Michigan",79595.0
"Genesee, Michigan",405813.0
"Ingham, Michigan",292406.0
"Kalamazoo, Michigan",265066.0
"Kent, Michigan",656955.0
"Lenawee, Michigan",98451.0
"Macomb, Michigan",873972.0
"Manistee, Michigan",24558.0
"Missaukee, Michigan",15118.0
"Monroe, Michigan",150500.0
"Oakland, Michigan",1257584.0
"St. Clair, Michigan",159128.0
"Schoolcraft, Michigan",8094.0
"Tuscola, Michigan",52245.0
"Washtenaw, Michigan",367601.0
"Wayne, Michigan",1749343.0
"Wexford, Michigan",33631.0
"Anoka, Minnesota",356921.0
"Becker, Minnesota",34423.0
"Carlton, Minnesota",35871.0
"Cook, Minnesota",5463.0
"Crow Wing, Minnesota",65055.0
"Dakota, Minnesota",429021.0
"Goodhue, Minnesota",46340.0
"Hennepin, Minnesota",1265843.0
"Lake, Minnesota",10641.0
"Lyon, Minnesota",25474.0
"Olmsted, Minnesota",158293.0
"Ramsey, Minnesota",550321.0
"Scott, Minnesota",149013.0
"Stearns, Minnesota",161075.0
"Washington, Minnesota",262440.0
"Wright, Minnesota",138377.0
"Bolivar, Mississippi",30628.0
"DeSoto, Mississippi",184945.0
"Forrest, Mississippi",74897.0
"Hancock, Mississippi",47632.0
"Harrison, Mississippi",208080.0
"Hinds, Mississippi",231840.0
"Jackson, Mississippi",143617.0
"Lauderdale, Mississippi",74125.0
"Lee, Mississippi",85436.0
"Yalobusha, Mississippi",12108.0
"Andrew, Missouri",17712.0
"Boone, Missouri",180463.0
"Buchanan, Missouri",87364.0
"Callaway, Missouri",44743.0
"Cass, Missouri",105780.0
"Cedar, Missouri",14349.0
"Clay, Missouri",249948.0
"Clinton, Missouri",20387.0
"Greene, Missouri",293086.0
"Iron, Missouri",10125.0
"Jackson, Missouri",703011.0
"Jefferson, Missouri",225081.0
"Lincoln, Missouri",59013.0
"Monroe, Missouri",8644.0
"Perry, Missouri",19136.0
"St. Louis City, Missouri",994205.0
"Cascade, Montana",81366.0
"Fergus, Montana",11050.0
"Flathead, Montana",103806.0
"Gallatin, Montana",114434.0
"Lewis and Clark, Montana",69432.0
"Lincoln, Montana",19980.0
"Missoula, Montana",119600.0
"Ravalli, Montana",43806.0
"Richland, Montana",10803.0
"Rosebud, Montana",8937.0
"Silver Bow, Montana",34915.0
"Yellowstone, Montana",161300.0
"Cass, Nebraska",26248.0
"Douglas, Nebraska",571327.0
"Knox, Nebraska",8332.0
"Lancaster, Nebraska",319090.0
"Sarpy, Nebraska",187196.0
"Churchill, Nevada",24909.0
"Clark, Nevada",2266715.0
"Douglas, Nevada",48905.0
"Elko, Nevada",52778.0
"Lyon, Nevada",57510.0
"Nye, Nevada",46523.0
"Washoe, Nevada",471519.0
"White Pine, Nevada",9580.0
"Carson City, Nevada",55916.0
"Belknap, New Hampshire",61303.0
"Cheshire, New Hampshire",76085.0
"Coos, New Hampshire",31563.0
"Grafton, New Hampshire",89886.0
"Hillsborough, New Hampshire",417025.0
"Merrimack, New Hampshire",151391.0
"Rockingham, New Hampshire",309769.0
"Atlantic, New Jersey",263670.0
"Bergen, New Jersey",932202.0
"Camden, New Jersey",506471.0
"Cumberland, New Jersey",149527.0
"Essex, New Jersey",798975.0
"Gloucester, New Jersey",291636.0
"Hudson, New Jersey",672391.0
"Hunterdon, New Jersey",124371.0
"Mercer, New Jersey",367430.0
"Middlesex, New Jersey",825062.0
"Monmouth, New Jersey",618795.0
"Morris, New Jersey",491845.0
"Ocean, New Jersey",607186.0
"Passaic, New Jersey",501826.0
"Union, New Jersey",556341.0
"Warren, New Jersey",105267.0
"Bernalillo, New Mexico",679121.0
"Dona Ana, New Mexico",218195.0
"Eddy, New Mexico",58460.0
"Lea, New Mexico",71070.0
"Luna, New Mexico",23709.0
"Rio Arriba, New Mexico",38921.0
"Sandoval, New Mexico",146748.0
"San Juan, New Mexico",123958.0
"Santa Fe, New Mexico",150358.0
"Taos, New Mexico",32723.0
"Valencia, New Mexico",76688.0
"Albany, New York",305506.0
"Chautauqua, New York",126903.0
"Dutchess, New York",294218.0
"Erie, New York",918702.0
"Essex, New York",36885.0
"Franklin, New York",50022.0
"Hamilton, New York",4416.0
"Herkimer, New York",61319.0
"Jefferson, New York",109834.0
"Monroe, New York",741770.0
"Nassau, New York",1356924.0
"Niagara, New York",209281.0
"Oneida, New York",228671.0
"Onondaga, New York",460528.0
"Orange, New York",384940.0
"Oswego, New York",117124.0
"Putnam, New York",98320.0
"Rockland, New York",325789.0
"Saratoga, New York",229863.0
"Steuben, New York",95379.0
"Suffolk, New York",1476601.0
"Tompkins, New York",102180.0
"Wayne, New York",89918.0
"Westchester, New York",967506.0
"Avery, North Carolina",17557.0
"Beaufort, North Carolina",46994.0
"Buncombe, North Carolina",261191.0
"Caldwell, North Carolina",82178.0
"Carteret, North Carolina",69473.0
"Caswell, North Carolina",22604.0
"Catawba, North Carolina",159551.0
"Cumberland, North Carolina",335509.0
"Davidson, North Carolina",167609.0
"Durham, North Carolina",321488.0
"Edgecombe, North Carolina",51472.0
"Forsyth, North Carolina",382295.0
"Graham, North Carolina",8441.0
"Granville, North Carolina",60443.0
"Guilford, North Carolina",537174.0
"Haywood, North Carolina",62317.0
"Johnston, North Carolina",209339.0
"Lenoir, North Carolina",55949.0
"Lincoln, North Carolina",86111.0
"Macon, North Carolina",35858.0
"Martin, North Carolina",22440.0
"Mecklenburg, North Carolina",1110356.0
"Montgomery, North Carolina",27173.0
"New Hanover, North Carolina",234473.0
"Person, North Carolina",39490.0
"Pitt, North Carolina",180742.0
"Rockingham, North Carolina",91010.0
"Rowan, North Carolina",142088.0
"Swain, North Carolina",14271.0
"Union, North Carolina",239859.0
"Wake, North Carolina",1111761.0
"Yancey, North Carolina",18069.0
"Billings, North Dakota",928.0
"Burke, North Dakota",2115.0
"Burleigh, North Dakota",95626.0
"Cass, North Dakota",181923.0
"Dunn, North Dakota",4424.0
"McKenzie, North Dakota",15024.0
"Mercer, North Dakota",8187.0
"Oliver, North Dakota",1959.0
"Williams, North Dakota",37589.0
"Adams, Ohio",27698.0
"Allen, Ohio",102351.0
"Ashtabula, Ohio",97241.0
"Belmont, Ohio",67006.0
"Butler, Ohio",383134.0
"Clark, Ohio",134083.0
"Clermont, Ohio",206428.0
"Clinton, Ohio",41968.0
"Columbiana, Ohio",101883.0
"Cuyahoga, Ohio",1235072.0
"Delaware, Ohio",209177.0
"Fayette, Ohio",28525.0
"Franklin, Ohio",1316756.0
"Geauga, Ohio",93649.0
"Greene, Ohio",168937.0
"Hamilton, Ohio",817473.0
"Jefferson, Ohio",65325.0
"Knox, Ohio",62322.0
"Lake, Ohio",230149.0
"Lawrence, Ohio",59463.0
"Licking, Ohio",176862.0
"Lorain, Ohio",309833.0
"Lucas, Ohio",428348.0
"Madison, Ohio",44731.0
"Mahoning, Ohio",228683.0
"Medina, Ohio",179746.0
"Miami, Ohio",106987.0
"Montgomery, Ohio",531687.0
"Morgan, Ohio",14508.0
"Noble, Ohio",14424.0
"Portage, Ohio",162466.0
"Preble, Ohio",40882.0
"Scioto, Ohio",75314.0
"Stark, Ohio",370606.0
"Summit, Ohio",541013.0
"Trumbull, Ohio",197974.0
"Warren, Ohio",234602.0
"Washington, Ohio",59911.0
"Wood, Ohio",130817.0
"Adair, Oklahoma",22194.0
"Canadian, Oklahoma",148306.0
"Cleveland, Oklahoma",284014.0
"Comanche, Oklahoma",120749.0
"Creek, Oklahoma",71522.0
"Dewey, Oklahoma",4891.0
"Kay, Oklahoma",43538.0
"Mayes, Oklahoma",41100.0
"Muskogee, Oklahoma",67997.0
"Oklahoma, Oklahoma",797434.0
"Ottawa, Oklahoma",31127.0
"Pittsburg, Oklahoma",43654.0
"Sequoyah, Oklahoma",41569.0
"Tulsa, Oklahoma",651552.0
"Baker, Oregon",16124.0
"Benton, Oregon",93053.0
"Clackamas, Oregon",418187.0
"Columbia, Oregon",52354.0
"Crook, Oregon",24404.0
"Deschutes, Oregon",197692.0
"Douglas, Oregon",110980.0
"Grant, Oregon",7199.0
"Harney, Oregon",7393.0
"Jackson, Oregon",220944.0
"Josephine, Oregon",87487.0
"Klamath, Oregon",68238.0
"Lake, Oregon",7869.0
"Lane, Oregon",382067.0
"Linn, Oregon",129749.0
"Marion, Oregon",347818.0
"Multnomah, Oregon",812855.0
"Umatilla, Oregon",77950.0
"Union, Oregon",26835.0
"Wallowa, Oregon",7208.0
"Wasco, Oregon",26682.0
"Washington, Oregon",601592.0
"Adams, Pennsylvania",103009.0
"Allegheny, Pennsylvania",1216045.0
"Armstrong, Pennsylvania",64735.0
"Beaver, Pennsylvania",163929.0
"Berks, Pennsylvania",421164.0
"Blair, Pennsylvania",121829.0
"Bradford, Pennsylvania",60323.0
"Bucks, Pennsylvania",628270.0
"Cambria, Pennsylvania",130192.0
"Centre, Pennsylvania",162385.0
"Chester, Pennsylvania",524989.0
"Clearfield, Pennsylvania",79255.0
"Cumberland, Pennsylvania",253370.0
"Dauphin, Pennsylvania",278299.0
"Delaware, Pennsylvania",566747.0
"Elk, Pennsylvania",29910.0
"Erie, Pennsylvania",269728.0
"Franklin, Pennsylvania",155027.0
"Greene, Pennsylvania",36233.0
"Indiana, Pennsylvania",84073.0
"Lackawanna, Pennsylvania",209674.0
"Lancaster, Pennsylvania",545724.0
"Lawrence, Pennsylvania",85512.0
"Lebanon, Pennsylvania",141793.0
"Lehigh, Pennsylvania",369318.0
"Luzerne, Pennsylvania",317417.0
"Lycoming, Pennsylvania",113299.0
"Mercer, Pennsylvania",109424.0
"Monroe, Pennsylvania",170271.0
"Montgomery, Pennsylvania",830915.0
"Northampton, Pennsylvania",305285.0
"Philadelphia, Pennsylvania",1584064.0
"Somerset, Pennsylvania",73447.0
"Tioga, Pennsylvania",40591.0
"Warren, Pennsylvania",39191.0
"Washington, Pennsylvania",206865.0
"Westmoreland, Pennsylvania",348899.0
"York, Pennsylvania",449058.0
"Kent, Rhode Island",164292.0
"Providence, Rhode Island",638931.0
"Washington, Rhode Island",125577.0
"Aiken, South Carolina",170872.0
"Anderson, South Carolina",202558.0
"Berkeley, South Carolina",227907.0
"Charleston, South Carolina",411406.0
"Chesterfield, South Carolina",45650.0
"Darlington, South Carolina",66618.0
"Edgefield, South Carolina",27260.0
"Greenville, South Carolina",523542.0
"Lexington, South Carolina",298750.0
"Oconee, South Carolina",79546.0
"Pickens, South Carolina",126884.0
"Richland, South Carolina",415759.0
"Spartanburg, South Carolina",319785.0
"York, South Carolina",280979.0
"Brookings, South Dakota",35077.0
"Codington, South Dakota",28009.0
"Custer, South Dakota",8972.0
"Jackson, South Dakota",3344.0
"Meade, South Dakota",28332.0
"Minnehaha, South Dakota",193134.0
"Pennington, South Dakota",113775.0
"Union, South Dakota",15932.0
"Anderson, Tennessee",76978.0
"Blount, Tennessee",133088.0
"Claiborne, Tennessee",31959.0
"Davidson, Tennessee",694144.0
"Hamilton, Tennessee",367804.0
"Jefferson, Tennessee",54495.0
"Knox, Tennessee",470313.0
"Loudon, Tennessee",54068.0
"Montgomery, Tennessee",208993.0
"Sevier, Tennessee",98250.0
"Shelby, Tennessee",937166.0
"Sullivan, Tennessee",158348.0
"Sumner, Tennessee",191283.0
"Williamson, Tennessee",238412.0
"Wilson, Tennessee",144657.0
"Bell, Texas",362924.0
"Bexar, Texas",2003554.0
"Brazoria, Texas",374264.0
"Brewster, Texas",9203.0
"Cameron, Texas",423163.0
"Collin, Texas",1034730.0
"Dallas, Texas",2635516.0
"Denton, Texas",887207.0
"Ector, Texas",166223.0
"Ellis, Texas",184826.0
"El Paso, Texas",839238.0
"Galveston, Texas",342139.0
"Gregg, Texas",123945.0
"Harris, Texas",4713325.0
"Harrison, Texas",66553.0
"Hidalgo, Texas",868707.0
"Hood, Texas",61643.0
"Hunt, Texas",98594.0
"Jefferson, Texas",251565.0
"Johnson, Texas",175817.0
"Kaufman, Texas",136154.0
"McLennan, Texas",256623.0
"Maverick, Texas",58722.0
"Montgomery, Texas",607391.0
"Navarro, Texas",50113.0
"Nueces, Texas",362294.0
"Orange, Texas",83396.0
"Parker, Texas",142878.0
"Polk, Texas",51353.0
"Potter, Texas",117415.0
"Randall, Texas",137713.0
"Rockwall, Texas",104915.0
"Smith, Texas",232751.0
"Tarrant, Texas",2102515.0
"Travis, Texas",1273954.0
"Victoria, Texas",92084.0
"Cache, Utah",128289.0
"Carbon, Utah",20463.0
"Davis, Utah",355481.0
"Duchesne, Utah",19938.0
"Salt Lake, Utah",1160437.0
"San Juan, Utah",15308.0
"Tooele, Utah",72259.0
"Uintah, Utah",35734.0
"Utah, Utah",636235.0
"Bennington, Vermont",35470.0
"Chittenden, Vermont",163774.0
"Rutland, Vermont",58191.0
"Albemarle, Virginia",109330.0
"Arlington, Virginia",236842.0
"Caroline, Virginia",30725.0
"Chesterfield, Virginia",352802.0
"Fairfax, Virginia",1147532.0
"Fauquier, Virginia",71222.0
"Frederick, Virginia",89313.0
"Giles, Virginia",16720.0
"Hanover, Virginia",107766.0
"Henrico, Virginia",330818.0
"Loudoun, Virginia",413538.0
"Madison, Virginia",13261.0
"Prince Edward, Virginia",22802.0
"Prince William, Virginia",470335.0
"Richmond City, Virginia",9023.0
"Roanoke, Virginia",94186.0
"Rockbridge, Virginia",22573.0
"Rockingham, Virginia",81948.0
"Stafford, Virginia",152882.0
"Wythe, Virginia",28684.0
"Adams, Washington",19983.0
"Asotin, Washington",22582.0
"Benton, Washington",204390.0
"Chelan, Washington",77200.0
"Clallam, Washington",77331.0
"Clark, Washington",488241.0
"Columbia, Washington",3985.0
"Cowlitz, Washington",110593.0
"Franklin, Washington",95222.0
"Grant, Washington",97733.0
"Grays Harbor, Washington",75061.0
"Jefferson, Washington",32221.0
"King, Washington",2252782.0
"Kitsap, Washington",271473.0
"Kittitas, Washington",47935.0
"Lewis, Washington",80707.0
"Mason, Washington",66768.0
"Okanogan, Washington",42243.0
"Pierce, Washington",904980.0
"Skagit, Washington",129205.0
"Snohomish, Washington",822083.0
"Spokane, Washington",522798.0
"Stevens, Washington",45723.0
"Thurston, Washington",290536.0
"Walla Walla, Washington",60760.0
"Whatcom, Washington",229247.0
"Whitman, Washington",50104.0
"Yakima, Washington",250873.0
"Berkeley, West Virginia",119171.0
"Brooke, West Virginia",21939.0
"Cabell, West Virginia",91945.0
"Gilmer, West Virginia",7823.0
"Greenbrier, West Virginia",34662.0
"Hancock, West Virginia",28810.0
"Kanawha, West Virginia",178124.0
"Marshall, West Virginia",30531.0
"Monongalia, West Virginia",105612.0
"Ohio, West Virginia",41411.0
"Tucker, West Virginia",6839.0
"Wood, West Virginia",83518.0
"Ashland, Wisconsin",15562.0
"Brown, Wisconsin",264542.0
"Columbia, Wisconsin",57532.0
"Dane, Wisconsin",546695.0
"Dodge, Wisconsin",87839.0
"Door, Wisconsin",27668.0
"Eau Claire, Wisconsin",104646.0
"Fond du Lac, Wisconsin",103403.0
"Forest, Wisconsin",9004.0
"Grant, Wisconsin",51439.0
"Jefferson, Wisconsin",84769.0
"Kenosha, Wisconsin",169561.0
"Kewaunee, Wisconsin",20434.0
"La Crosse, Wisconsin",118016.0
"Manitowoc, Wisconsin",78981.0
"Marathon, Wisconsin",135692.0
"Milwaukee, Wisconsin",945726.0
"Oneida, Wisconsin",35595.0
"Outagamie, Wisconsin",187885.0
"Ozaukee, Wisconsin",89221.0
"Rock, Wisconsin",163354.0
"Sauk, Wisconsin",64442.0
"Sheboygan, Wisconsin",115340.0
"Taylor, Wisconsin",20343.0
"Vilas, Wisconsin",22195.0
"Walworth, Wisconsin",103868.0
"Waukesha, Wisconsin",404198.0
"Albany, Wyoming",38880.0
"Big Horn, Wyoming",11790.0
"Campbell, Wyoming",46341.0
"Carbon, Wyoming",14800.0
"Converse, Wyoming",13822.0
"Fremont, Wyoming",39261.0
"Laramie, Wyoming",99500.0
"Lincoln, Wyoming",19830.0
"Natrona, Wyoming",79858.0
"Sheridan, Wyoming",30485.0
"Sublette, Wyoming",9831.0
"Sweetwater, Wyoming",42343.0
"Teton, Wyoming",23464.0
"Uinta, Wyoming",20226.0
"Weston, Wyoming",6927.0
